,current_location,current_work,previous_work,latest_Education,major,search_school,coordinate,state,county,city,fips
2152,,Manager of Technology and Mortgage Recruitment - Direct Hire at Collabera Inc.,Senior Account Manager of Technology and Mortgage at Collabera Inc.,"University of California, Riverside",Chemistry,"University of California, Riverside",,,,,
2153,Los Angeles  ,Owner at Song Technologies,Senior Consultant at Booz Allen Hamilton,University of Southern California - Marshall School of Business,Entrepreneurship & Innovation,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2154,"San Francisco, California, United States",CEO/Founder at PRbyPR- Public Relations by Pernella Rose,Senior Project Manager at Leftwich Event Specialists,University of Riverside,Public Relations,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
2155,"Ontario, California, United States",Managing Director | Capital Markets at Newmark Knight Frank at Newmark Knight Frank,Executive Vice President at NAI Capital,University of San Diego,Real Estate Development & Business Management Executive Course Work,"University of California, Riverside","(34.065846, -117.6484304)",California,San Bernardino,Ontario,6071
2156,Los Angeles  ,Project Manager at Balfour Beatty US,Project Manager at Erickson-Hall Construction Co.,"University of California, Riverside",Economics,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2157,"Seattle, Washington, United States","Manager, Group Sales at Seattle Mariners","Account Executive, Group Sales & Team Lead at LA Clippers","University of California, Riverside",Communications,"University of California, Riverside","(47.6038321, -122.3300624)",Washington,King,Seattle,53033
2158,"Oceanside, California, United States",Co-Founder and Head of Product at Linkt Care,Product Designer at American Addiction Centers,Columbia University in the City of New York,Philosophy and Education,"University of California, Riverside","(33.1958696, -117.3794834)",California,San Diego,Oceanside,6073
2159,"Hampstead, Maryland, United States","Owner at D. J. Dreyfuss DVM, LLC Consulting",Senior Veterinary Science Liaison at KindredBio,University of Pennsylvania School of Veterinary Medicine,Residency Large Animal Surgery,"University of California, Riverside","(39.6028444, -76.8534845)",Maryland,Carroll,,24013
2160,"Dallas, Texas, United States",Business Development Manager at TheoremOne,Headhunter [FULL DESK] at Contract Recruiter,Texas A&M University-Commerce,Marketing,"University of California, Riverside","(32.7762719, -96.7968559)",Texas,Dallas,Dallas,48113
2161,"Riverside, California, United States",Operations Manager I at DHL Supply Chain,Inventory Control Manager I at DHL Supply Chain,"University of California, Riverside","Business Administration , General Management","University of California, Riverside","(33.9459413, -117.41024442439222)",California,Riverside,Riverside,6065
2162,"Orange County, California, United States",Partner at B2B CFO®,Business Valuations Analyst | Business Owner at Eleshio Consulting LLC,"University of California, Irvine - The Paul Merage School of Business","Business Administration and Management, General","University of California, Riverside","(33.7500378, -117.8704931)",California,Orange,,6059
2163,,Software Engineer at Moon Technologies,Software Engineer at LoanSense,UC Irvine,Software Engineering,"University of California, Riverside",,,,,
2164,"San Diego, California, United States","Sr. Director, Oligonucleotide Chemistry at OliX Pharmaceuticals, Inc.",Senior Staff Scientist at TriLink BioTechnologies,"University of California, Riverside",Organic Chemistry,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
2165,"San Francisco, California, United States","Manager, People Operations  at Netlify",People Operations Manager at Go Nimbly,University of San Francisco,Public Health,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
2166,"Brooklyn, New York, United States","Product Security Lead, Cash App Taxes at Cash App",Senior Security Engineer at Flatiron Health,New York University,Computer Science,"University of California, Riverside","(40.6526006, -73.9497211)",New York,,,
2167,"Palo Alto, California, United States","Director Of Chemistry at CuraSen Therapeutics, Inc.","Senior Principal Scientist at CuraSen Therapeutics, Inc.",1995–2000,Organic Chemistry,"University of California, Riverside","(37.4443293, -122.1598465)",California,Santa Clara,Palo Alto,6085
2168,"Tustin, California, United States","Director, DBSL Global Customer Care Enablement at Cepheid","Senior Manager, Danaher Business System at Beckman Coulter Diagnostics","University of Southern California, Riverside",Biochemistry,"University of California, Riverside","(33.7458511, -117.826166)",California,Orange,,6059
2169,"New York, New York, United States",Chief People (HR) Consultant  at DDLR Consulting,"Vice President of Human Resources, North America at Soho House & Co","University of California, Riverside",,"University of California, Riverside","(40.7127281, -74.0060152)",New York,,New York,36061
2170,"Los Angeles, California, United States",Senior Data Analyst at Fox Corporation,Data Engineer at Pandora,University of Southern California,Financial Engineering,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2171,"Fullerton, California, United States",Human Resources Benefits at East West Bank,Human Resources Generalist at Hikvision USA,UCLA Extension,Human Resources Management,"University of California, Riverside","(33.8739385, -117.9243399)",California,Orange,,6059
2172,Cologne Bonn ,Nachhaltigkeitsmanagerin at Peter Greven GmbH & Co. KG,,EUFH Europäische Fachhochschule,Industriemanagement,"University of California, Riverside","(50.86780115, 7.138887378368084)",Nordrhein-Westfalen,,Köln,
2173,Hong Kong SAR,"Director, Business Development, Group Partnership Distribution at AIA","Director, Partnership Distribution  at Prudential Hong Kong","Cal State Fullerton, College of Business and Economics",Accounting,"University of California, Riverside","(22.350627, 114.1849161)",香港 Hong Kong,,,
2198,"San Francisco, California, United States",Co-Founder at Interview Now,Founder at Trommelo,2006–2010,Business Economics,"University of California, Riverside","(37.7790262, -122.419906)",California,,San Francisco,6075
2199,Los Angeles  ,Chief Operating Officer at VBanks,"Construction Project Manager at Pramukh Hospitality Services, Inc",2007–2009,Business Management - Entrepreneurship,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2200,San Francisco Bay ,Chief Operating Officer at Ntropic,Director of Operations at Havas San Francisco,Pace University,International Business & Finance,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
2201,Los Angeles  ,"Director, Programmatic Media at MediaCom",Programmatic Account Director at Insider Inc.,San Diego State University,Political Science,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2202,"Los Angeles, California, United States","Associate Manager, E-Commerce at Murad",E-Commerce Associate at Murad,"University of California, Riverside",Business Administration / Marketing,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2203,"Bethesda, Maryland, United States",Chief Operating Officer at USAgainstAlzheimer's,Executive Consultant at Self-employed,+ 2 more,Political Science,"University of California, Riverside","(38.98127255, -77.12335871396549)",Maryland,Montgomery,Bethesda,24031
2204,"San Diego, California, United States",Chief Operating Officer at Synaccess,System Design Engineer at Virtium LLC,"University of California, Riverside",Electrical and Electronics Engineering,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
2205,"Los Angeles, California, United States",CMO at FastPay,Vice President Marketing at FastPay,American University,International Affairs - Economic Policy,"University of California, Riverside","(34.0536909, -118.242766)",California,Los Angeles,Los Angeles,6037
2206,"El Cajon, California, United States",Director Of Operations at Senior Aerospace Ketema,Director of Engineering at Senior Aerospace Ketema,"University of California, Riverside",Mechanical Engineering,"University of California, Riverside","(32.7947731, -116.962526)",California,San Diego,El Cajon,6073
2207,"San Diego, California, United States",Digital Marketing Director at Pacific Dental Services,Sr. Director of Digital Marketing & Brand Creative at Welk Resorts,Chapman University,Organizational Leadership,"University of California, Riverside","(32.7174202, -117.1627728)",California,San Diego,San Diego,6073
2208,Indonesia,"Senior Manager, Merchandise and Supply Chain at Hypefast",Managing Director at PT. Hidup Damai Textile,"University of California, Riverside","Finance, General","University of California, Riverside","(-2.4833826, 117.8902853)",,,,
2209,"Austin, Texas, United States",Director of Operations at Grace and Lace,Client Engineer at Electronic Arts,2000–2003,Computer Science,"University of California, Riverside","(30.2711286, -97.7436995)",Texas,Travis,Austin,48453
2210,,"CWO Operations Manager @ Gilead Sciences, Inc.  at KellyOCG","Sr. Talent Supply Chain Consultant @ Gilead Sciences, Inc. at KellyOCG","University of California, San Diego",Sociology (Science and Medicine),"University of California, Riverside",,,,,
2211,San Francisco Bay ,"Vice President, Infrastructure Security Engineering at Workday","Senior Director, Security Operations at Workday",UC Riverside,Psychology,"University of California, Riverside","(37.71402905, -122.30779415179862)",California,San Mateo,,6081
