,current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
2061, Philadelphia,Executive Vice President and Chief Financial Officer - bpost North America at bpost,EVP & CFO at The Mail Group,The Wharton School,Advanced Management Program,Pennsylvania State,bpost,The Mail Group,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
2062, Pittsburgh ,Supply Chain Strategy Manager at DICK'S Sporting Goods,Senior Supply Chain Analyst - Strategy at DICK'S Sporting Goods,University of Pittsburgh - Joseph M. Katz Graduate School of Business,Supply Chain & Information Systems,Pennsylvania State,DICK'S Sporting Goods,DICK'S Sporting Goods,,,,,,,,40.441694,-79.990086,Pennsylvania,Allegheny,Pittsburgh,42003
2063,"Philadelphia, Pennsylvania, United States","Director, HR Technology & Data at Audacy, Inc.","Manager, HR Technology & Data at Audacy, Inc.",Saint Joseph's University,"Science, Mathematics",Pennsylvania State,"Audacy, Inc.","Audacy, Inc.",,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
2064,"West Boylston, Massachusetts, United States",,"Manager, Identity and Access Management at Northeastern University",1996–1998,Marketing & Technology,Pennsylvania State,,Northeastern University,,,,,,,,42.367817,-71.786271,Massachusetts,Worcester,,25027
2065,"Bethesda, Maryland, United States",VP of Information Security at Madison Square Garden Entertainment Corp.,VP of Internal Audit (Interim) at AARP,Penn State University,Management Information Systems,Pennsylvania State,Madison Square Garden Entertainment Corp.,AARP,711310 Wrestling event promoters with facilities,813319 World peace and understanding advocacy organizations,71,81,"Arts, Entertainment, and Recreation",51732.192,Other Services (except Public Administration),38.981273,-77.123359,Maryland,Montgomery,Bethesda,24031
2066,Denver  ,"Vice President, Supply Chain - America's Region at VF Corporation","Vice President, Product Supply - Asia; Footwear Sourcing at VF Asia Pacific","University of California, Los Angeles - The Anderson School of Management",Supply Chain Management / Business Logistics,Pennsylvania State,VF Corporation,VF Asia Pacific,,523920 Portfolio fund managing,,52,,,Finance and Insurance,39.739236,-104.984862,Colorado,,Denver,08031
2067,"Allison Park, Pennsylvania, United States","Co President at Turbie Twist, LP",,Education (same page),Communications,Pennsylvania State,"Turbie Twist, LP",,,,,,,,,40.558401,-79.958109,Pennsylvania,Allegheny,,42003
2068,"New York, New York, United States","SVP, Marketing Strategy, Loyalty and Analytics at Saks Fifth Avenue","VP, Head of Media and Performance Marketing  at Hudson's Bay Company",The University of Chicago Booth School of Business,"Marketing, Strategic Management, Entrepreneurship",Pennsylvania State,Saks Fifth Avenue,Hudson's Bay Company,,,,,,,,40.712728,-74.006015,New York,,New York,36061
2070,"Newark, California, United States","CEO at Virtual Assistant Talent, LLC",member at BNI,+ 2 more,Human Resources,Pennsylvania State,"Virtual Assistant Talent, LLC",BNI,,,,,,,,37.529659,-122.04024,California,Alameda,,06001
2071,San Francisco Bay ,Supply Chain Lead at Joby Aviation,Senior Manager Supply Chain Management at Kitty Hawk,Pennsylvania State University,Industrial and Manufacturing Engineering,Pennsylvania State,Joby Aviation,Kitty Hawk,,,,,,,,37.714029,-122.307794,California,San Mateo,,06081
2072,"East Hanover, New Jersey, United States",Chief Information Officer at Sportscare Institute,Director of Architecture at Tiffany,Penn State University,Political Science and Government,Pennsylvania State,Sportscare Institute,Tiffany,,,,,,,,40.8201,-74.364873,New Jersey,Morris,,34027
2073,"Charlotte, North Carolina, United States","SVP, Digital Experience & Segment Strategy at Truist","SVP, Digital Channel Manager at Bank of America",Wake Forest University,Television Production,Pennsylvania State,Truist,Bank of America,,,,,,,,35.227209,-80.843083,North Carolina,Mecklenburg,Charlotte,37119
2074,"Broomall, Pennsylvania, United States",Director Of Operations at OmniCable,Corporate Operations Manager at OmniCable,Penn State University,"Logistics, Materials, and Supply Chain Management",Pennsylvania State,OmniCable,OmniCable,,,,,,,,39.9815,-75.35658,Pennsylvania,Delaware,,42045
2076,"Santa Monica, California, United States","Director, Marketing Operations at Snap Inc.",Head of Marketing Operations at Snap Inc.,Villanova University,Business Administration | Marketing,Pennsylvania State,Snap Inc.,Snap Inc.,,,,,,,,34.01947,-118.491227,California,Los Angeles,Santa Monica,06037
2077,"Castle Rock, Colorado, United States",Strategic Alliance Director at Equifax,Business Development Executive at Softchoice,DePaul University,"Business Administration and Management, General",Pennsylvania State,Equifax,Softchoice,,,,,,,,39.372255,-104.858683,Colorado,Douglas,,08035
2078,"Fairfax County, Virginia, United States",chief of innovation at Balfour Beatty Construction US,Chief of Enterprise Development at Balfour Beatty Construction,Penn State University,Architectural Engineering,Pennsylvania State,Balfour Beatty Construction US,Balfour Beatty Construction,,,,,,,,38.815636,-77.283685,Virginia,Fairfax,,51059
2079,"Morristown, New Jersey, United States",Co-Founder and Chief Creative Officer at The Glimpse Group,Founder at VRTech Consulting LLC,1993–1997,Civil Engineering,Pennsylvania State,The Glimpse Group,VRTech Consulting LLC,,,,,,,,40.797038,-74.480987,New Jersey,Morris,,34027
2080, Boston,"Senior Director, Head of Process Development at Intergalactic Therapeutics","Director, Process Development at Tessera Therapeutics",Penn State University,Chemical Engineering,Pennsylvania State,Intergalactic Therapeutics,Tessera Therapeutics,,,,,,,,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
2081,"Carol Stream, Illinois, United States","Vice President, Operations at Shipfusion","Senior Manager, Supply Chain Network Expansion at Ulta Beauty",Penn State University,Supply Chain Management,Pennsylvania State,Shipfusion,Ulta Beauty,,,,,,,,41.912529,-88.134793,Illinois,DuPage,,17043
2082,"Wheaton, Illinois, United States",Senior Vice President - Team USA at Domino's,Vice President - Team USA at Domino's,1988–1992,,Pennsylvania State,Domino's,Domino's,,,,,,,,41.864696,-88.110171,Illinois,DuPage,,17043
2083,"Portland, Oregon  ","Commercial Painting Services Co-Owner | Services Portland, OR at CertaPro Painters of Portland",Services Operations Manager at Jama Software,1997–2001,Management Science and Information Systems,Pennsylvania State,CertaPro Painters of Portland,Jama Software,,,,,,,,45.520247,-122.674195,Oregon,Multnomah,Portland,41051
2084,"Philadelphia, Pennsylvania, United States",IT Services Practice Director at CTN Solutions  at CTN Solutions,Director at S & O Consulting,2001–2003,MBA - New Ventures,Pennsylvania State,CTN Solutions,S & O Consulting,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
2086,"Mooresville, North Carolina, United States","Global VP of Customer Experience, Club Car at Ingersoll Rand","Vice President of Customer Experience, Residential HVAC Equipment and Supply at Ingersoll Rand",Penn State University,Mechanical Engineering,Pennsylvania State,Ingersoll Rand,Ingersoll Rand,,,,,,,,35.58486,-80.810072,North Carolina,Iredell,,37097
2087,"Philadelphia, Pennsylvania, United States",Information Technology Infrastructure  at PJM Interconnection,Director IT Infrastructure & Services at AmerCareRoyal,Penn State University,Information Technology,Pennsylvania State,PJM Interconnection,AmerCareRoyal,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
2088,"Wake Forest, North Carolina, United States",Global Strategic Partner Director at Claroty,Business Development at Cisco,Penn State University,Electrical Engineering,Pennsylvania State,Claroty,Cisco,,,,,,,,35.980314,-78.510373,North Carolina,Wake,,37183
2089,"Jamison, Pennsylvania, United States",CEO & Co-founder at The Next Step Programs INC.,Communciations Manager at The Arc of Pennsylvania,Penn State University,Labor and Employment Relations,Pennsylvania State,The Next Step Programs INC.,The Arc of Pennsylvania,,,,,,,,40.25483,-75.089337,Pennsylvania,Bucks,Warwick Township,42017
2090,"Fayetteville, Georgia, United States",Regional Director Of Operations at Capstone Restaurant Group,Director Of Operations at Zaxby's Inc.,1999–1999,Penn State Executive Leadership,Pennsylvania State,Capstone Restaurant Group,Zaxby's Inc.,,,,,,,,33.448726,-84.454926,Georgia,Fayette,,13113
2091,"Indianapolis, Indiana, United States","Senior Director, Human Resources at Ryobi Die Casting INC (USA)",Human Resources Leader at GE Aviation - Unison Engine Components,Penn State University,Accounting,Pennsylvania State,Ryobi Die Casting INC (USA),GE Aviation - Unison Engine Components,,,,,,,,39.768333,-86.15835,Indiana,Marion,Indianapolis,18097
2092, Philadelphia,"Director of Industry Marketing, Retail, E-Commerce & Consumer Goods at Talkdesk","Director, Global Marketing at Contentserv",1995–1999,Telecommunications,Pennsylvania State,Talkdesk,Contentserv,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
2093,"Grapevine, Texas, United States",Director of Enterprise Architecture at Southwest Airlines,Sr. Enterprise Architect at Southwest Airlines,Penn State College of Information Sciences and Technology,Enterprise Architecture and Business Transformation,Pennsylvania State,Southwest Airlines,Southwest Airlines,,,,,,,,32.933738,-97.078875,Texas,Tarrant,Grapevine,48439
2094,"Chester Springs, Pennsylvania, United States","Manager IT, Systems Design & Development, Asset Management & Reliability at Amtrak","Manager IT, Enterprise Asset Management, Reliability & Engineering at Teva Pharmaceuticals",Southern New Hampshire University,Information Technology Project Management,Pennsylvania State,Amtrak,Teva Pharmaceuticals,238210 Tunnel lighting contractors,,23,,Construction,64648.972,,40.095104,-75.616868,Pennsylvania,Chester,West Pikeland Township,42029
2095, Boston,"Director Of Retail Operations, MA at Ethos Cannabis",Manager of Retail Development (MSO) at Ethos Cannabis,Penn State Wilkes Barre,"Business, Management, Marketing, and Related Support Services",Pennsylvania State,Ethos Cannabis,Ethos Cannabis,,,,,,,,42.360253,-71.058291,Massachusetts,Suffolk,Boston,25025
2096,"Lancaster, Pennsylvania, United States","Vice President, Operations at Reading Bakery Systems","Director, Engineering at Reading Bakery Systems",Penn State University,Electrical Engineering,Pennsylvania State,Reading Bakery Systems,Reading Bakery Systems,,,,,,,,40.03813,-76.305669,Pennsylvania,Lancaster,Lancaster,42071
2097,"Lafayette Hill, Pennsylvania, United States","President at Planned Giving Marketing, LLC","General Manager, Marketing Communications Division at Strata Graphics/Insights Direct",Penn State University,,Pennsylvania State,"Planned Giving Marketing, LLC",Strata Graphics/Insights Direct,,,,,,,,40.093999,-75.252957,Pennsylvania,Montgomery,Whitemarsh Township,42091
2098, Philadelphia,President at BnB Knives,Store leader at Sunoco,Penn State University,International Marketing,Pennsylvania State,BnB Knives,Sunoco,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
2099,New York City  ,"Senior Director, Business Development & Strategic Solutions at Dealpath","Director, Business Development & Strategic Solutions at Dealpath",2006–2010,Hospitality,Pennsylvania State,Dealpath,Dealpath,,,,,,,,40.712728,-74.006015,New York,,New York,36061
2100,"Philadelphia, Pennsylvania, United States","Founder and Managing Director, Trial Attorney at The Law Office of Eileen J. Hurley, L.L.C.",Founding Member at Privitera & Hurley LLC,Temple University - James E. Beasley School of Law,Trial Advocacy,Pennsylvania State,"The Law Office of Eileen J. Hurley, L.L.C.",Privitera & Hurley LLC,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
2101,"Columbus, Ohio  ",Chief Product Officer at VPL,"Vice President, Product Management at VPL",+ 1 more,,Pennsylvania State,VPL,VPL,,,,,,,,39.96226,-83.000706,Ohio,Franklin,Columbus,39049
2102,"Alpharetta, Georgia, United States","Vice President, Supply Chain Design at Chainalytics",Vice President Strategic Alliances at Siemens Business Services,1997–1998,Business Logistics,Pennsylvania State,Chainalytics,Siemens Business Services,,,,,,,,34.070958,-84.274733,Georgia,Fulton,,13121
2103,Los Angeles  ,"Senior Vice President, Global Publisher Strategy at EMX Digital","Senior Vice President, Publisher Development at bRealTime",Education (same page),,Pennsylvania State,EMX Digital,bRealTime,,,,,,,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
2104,"Philadelphia, Pennsylvania, United States","Director, Strategic Initiatives / Chief of Staff Global Commercial Operations  at CSL Behring","Associate Director, Market Access Strategy at CSL Behring",Saint Joseph's University - Erivan K. Haub School of Business,,Pennsylvania State,CSL Behring,CSL Behring,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
2105, Philadelphia,"Director, Logistics Purchasing, Optimization, & Analytics at Saint-Gobain",Supply Chain / IT Manager at Armstrong World Industries,1998–1999,Quality and Manufacturing Management,Pennsylvania State,Saint-Gobain,Armstrong World Industries,,,,,,,,39.952724,-75.163526,Pennsylvania,Philadelphia,Philadelphia,42101
2106,"Oley, Pennsylvania, United States","Director Of Business Development at CRIMEWATCH Technologies, Inc.",Assistant Chief County Detective at York County District Attorney's Office,Northwestern University,Criminal Justice/Police Science,Pennsylvania State,"CRIMEWATCH Technologies, Inc.",York County District Attorney's Office,,,,,,,,40.387594,-75.78964,Pennsylvania,Berks,Oley Township,42011
2107,"Gladstone, New Jersey, United States",Founder & CEO at KnoWEwell,Founder & CEO at GRC Professional Services,Penn State University,Accounting,Pennsylvania State,KnoWEwell,GRC Professional Services,,,,,,,,40.720291,-74.666275,New Jersey,Somerset,Peapack-Gladstone,34035
2108,New York City  ,"Director Of Operations at Williams-Sonoma, Inc.",Site Leader at Wayfair,Penn State University,Supply Chain Management,Pennsylvania State,"Williams-Sonoma, Inc.",Wayfair,,,,,,,,40.712728,-74.006015,New York,,New York,36061
2109,"Miami, Florida, United States",CEO at Dash Door & Glass,Partner at Structural Strengthening Group,Penn State University,,Pennsylvania State,Dash Door & Glass,Structural Strengthening Group,,,,,,,,25.774173,-80.19362,Florida,Miami-Dade,Miami,12086
