current_location,current_work,previous_work,latest_Education,majro,search_school,Unnamed: 0
Greater Phoenix Area,"Senior Director, Head of Engineering, EPI & Preclean at ASM","Member of Technical Staff, DSM at Applied Materials","University of California, Riverside",Mechanical Engineering /Surface Science,"University of California, Riverside",604.0
"Spring, Texas, United States","Vice President, Human Resources and Administration  at Innovex Downhole Solutions",Human Resources Director at Celanese,UC Riverside,"Communications, English","University of California, Riverside",605.0
"Oceanside, California, United States",Co-Founder at EDGE Sound Research,Student Technician at Esri,"University of California, Riverside","Information systems, Marketing Strategy","University of California, Riverside",606.0
United States,CoFounder & EVP WLDKAT at WLDKAT,Regional Director at SolarCity,"University of California, Riverside",Finance,"University of California, Riverside",607.0
Los Angeles Metropolitan Area,Procurement Professional at IBM,Project Manager at Dole Sunshine Company,"University of California, Riverside","Biology, General","University of California, Riverside",608.0
San Francisco Bay Area,Product Manager at Workday,Consultant at Deloitte Consulting,"University of California, Riverside",Computer Science,"University of California, Riverside",609.0
"Riverside, California, United States",Data Engineering Manager at BetterUp,Data Engineering Manager at Endgame360,"University of California, Riverside",Computer Science,"University of California, Riverside",610.0
Los Angeles Metropolitan Area,Product Manager at Primer.ai,Associate Product Manager at Hulu,"University of California, Riverside",,"University of California, Riverside",611.0
500+ connections,"Director, Sorority and Fraternity Life at UC Irvine","Interim Fraternity and Sorority Coordinator at University of California, Riverside",Claremont Graduate University,Higher Education & Student Affairs,"University of California, Riverside",612.0
"Fremont, California, United States","Product Marketing Manager - Education Business Unit at Foxit Software, Inc","Product Marketing Manager at Foxit Software, Inc","University of California, Riverside","Business Administration and Management, Marketing","University of California, Riverside",613.0
"Orange County, California, United States","VP, HR Data, Technology & Analytics Senior Manager at Capital Group","Senior Manager, HR Business Partner at Capital Group","University of California, Irvine - The Paul Merage School of Business",Advanced Program in HR and Business Leadership,"University of California, Riverside",614.0
San Francisco Bay Area,Operations at SAP.iO,Business Operations at Paid Pronto by SAP,"University of California, Riverside",Economics/Administrative Studies - Financial Accounting,"University of California, Riverside",615.0
Dallas-Fort Worth Metroplex,"Director, Customer Engagement Field Strategy & Operations at Genentech","Associate Director, Field Operations, MS and NMO Franchise at Genentech",Education (same page),Business Administration,"University of California, Riverside",616.0
Greater Paris Metropolitan Region,Head Of Marketing EU at LiveRamp,Head of Marketing France at LiveRamp,ESG Management School,International Business,"University of California, Riverside",617.0
Washington DC-Baltimore Area,Product Manager - Technical at Amazon Web Services (AWS),SVP | Senior Product Manager at Valley Bank,General Assembly,,"University of California, Riverside",618.0
"Austin, Texas, United States","CEO & Founder / Scientist at Dynamic DNA Laboratories, LLC",Research Scientist at Center for Biomedical and Life Sciences,Texas Christian University,Biology,"University of California, Riverside",619.0
"Los Angeles, California, United States","Manager, Content & Editorial Marketing, SmartCast at VIZIO","Manager, Editorial Strategy at HBO Max","University of California, Riverside",Media and Cultural Studies,"University of California, Riverside",620.0
"Richardson, Texas, United States",Director of Demand Gen & Product Marketing at Redica Systems,Head of Marketing - Legal at Internet Brands,Drivon School of Law - Humphreys College,English,"University of California, Riverside",621.0
"El Cerrito, California, United States",Executive Director at Vision y Compromiso,,REDF Accelerator,Social Enterprise,"University of California, Riverside",622.0
"Madrid, Community of Madrid, Spain",Sr. Procurement Delivery Manager (Category Lead) Digital & Technology at Roche,"Sr. Global Category Manager (Enterprise Connectivity, Cybersecurity, Cloud) at Roche",IMD Business School,Strategy,"University of California, Riverside",623.0
"Brookline, Massachusetts, United States",Senior Director at Ribon Therapeutics,Director at Ribon Therapeutics,1998–2005,Cell Biology,"University of California, Riverside",624.0
"San Francisco, California, United States",Head of People at AngelList,Head of People at Guidebook Inc.,"University of California, Riverside",Studio Art and Biology,"University of California, Riverside",625.0
"Orange County, California, United States",Vice President Product Management at Guaranteed Rate,Senior Vice President of Product Management at Cloudvirga,"University of California, Riverside",Business/Managerial Economics,"University of California, Riverside",626.0
"San Diego, California, United States",Talent Manager at Robert Half,Recruiting Manager at Robert Half,"University of California, Riverside",Finance,"University of California, Riverside",627.0
"San Francisco, California, United States","Senior Product Manager, Oncology Marketing at Gilead Sciences",U.S. Oncology Marketing - Hematology at Seagen,University of Southern California,Human Biology,"University of California, Riverside",628.0
San Francisco Bay Area,,Sr. Business Development Manager at BYD North America,"University of California, Riverside",Business Administration,"University of California, Riverside",629.0
"Santa Clara, California, United States",Architect at Workday,Adjunct Professor at Santa Clara University,"University of California, Riverside",Computer Science,"University of California, Riverside",630.0
"San Jose, California, United States","Director Of Business Development at Pacific Ridge Builders, Inc.",Business Development Manager at Gilbane Building Company,"University of California, Riverside",Business Econ,"University of California, Riverside",631.0
"San Francisco, California, United States","Senior Vice President, Sales at Navitus Health Solutions","VP & Chief Growth Officer, California and West Territory at Aetna, a CVS Health Company",1995–1998,Marketing,"University of California, Riverside",632.0
San Francisco Bay Area,Risk Operations Manager at Wish,Senior Fraud Analyst at Shaklee Corporation,"University of California, Riverside",Economics - Finance,"University of California, Riverside",633.0
Los Angeles Metropolitan Area,Senior Product Manager at Latch,Fellow (OD50-2) at On Deck,California College of the Arts,Design Strategy,"University of California, Riverside",634.0
"Torrance, California, United States",,Senior Manager Customer Data and Analytics at American Girl,"University of California, Riverside",,"University of California, Riverside",635.0
Los Angeles Metropolitan Area,"Vice President Of Product Management at Talent Systems, LLC",Director of Product Management at Cast & Crew Entertainment Services,+ 1 more,Computer Science,"University of California, Riverside",636.0
