current_location,current_work,previous_work,latest_Education,major,search_school,current_company,previous_company,current_company_industry,previous_company_industry,current_NAICS,previous_NAICS,current_NAICS_title,current_avg_salary,previous_NAICS_title,latitude,longitude,state,county,city,fips
,Chief Marketing Officer at International Collegiate Business Strategy Competition,IT Project Specialist at South Orange County Community College District,"University of California, Riverside","Business Administration, Marketing Concentration","University of California, Riverside",International Collegiate Business Strategy Competition,South Orange County Community College District,,611310 Universities,,61,,,Educational Services,,,,,,nan
"Santa Ana, California, United States",Sales Manager at Better.com,Salesforce Consultant at Ripples Foundation,"University of California, Riverside","Business Administration and Management, General","University of California, Riverside",Better.com,Ripples Foundation,522390 Travelers' check issuance services,,52,,Finance and Insurance,80163.492,,33.749495,-117.873221,California,Orange,Santa Ana,06059
,"Senior Associate, Paid Social at MediaCom",Enterprise Account Based Marketing Intern at RingCentral,Pepperdine Graziadio Business School,Business Analytics,"University of California, Riverside",MediaCom,RingCentral,515210 Television subscription services,"517919 VoIP service providers, using client-supplied telecommunications connections",51,51,Information,73855.595,Information,,,,,,nan
"Los Angeles, California, United States",Regional Director - Enterprise at Info-Tech Research Group,Sr. Enterprise Sales Manager at Supermicro,"University of California, Riverside",Economics,"University of California, Riverside",Info-Tech Research Group,Supermicro,541618 Utilities management consulting services,"334112 Tape storage units (e.g., drive backups), computer peripheral equipment, manufacturing",54,31-33,"Professional, Scientific, and Technical Services",77645.346,Manufacturing,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Los Angeles  ,"Senior Program Manager, Workforce Training Initiatives at Jobs for the Future (JFF)","Program Manager, Work-Based Learning at Pasadena City College","University of California, Riverside",Psychology,"University of California, Riverside",Jobs for the Future (JFF),Pasadena City College,,813319 World peace and understanding advocacy organizations,,81,,,Other Services (except Public Administration),34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"New York, New York, United States",Consultant at NRI (Nomura Research Institute),Business Development and Marketing Coordinator at McKool Smith,Baruch College,Marketing,"University of California, Riverside",NRI (Nomura Research Institute),McKool Smith,,541110 Tax law attorneys' private practices,,54,,,"Professional, Scientific, and Technical Services",40.712728,-74.006015,New York,,New York,36061
New York City  ,"Chief Compliance Officer at Taiwan Cooperative Bank, New York Branch",,University of Connecticut School of Law,Business/Corporate/Securities/Antitrust Law,"University of California, Riverside","Taiwan Cooperative Bank, New York Branch",,,,,,,,,40.712728,-74.006015,New York,,New York,36061
Los Angeles  ,"Creative Manager, Talent Relations & Awards at Netflix","Senior Manager, Program Marketing at HBO","University of California, Riverside",Business Administration,"University of California, Riverside",Netflix,HBO,"519130 Yearbook (e.g., high school, college, university) publishers, exclusively on Internet",515210 Television subscription services,51,51,Information,73855.595,Information,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Orange County, California, United States","Quality Control Manager at Spectrum Pharmaceuticals, Inc.","Supervisor, QC Laboratory at Par Pharmaceutical, an Endo International Company",University of Southern California,Chemistry,"University of California, Riverside","Spectrum Pharmaceuticals, Inc.","Par Pharmaceutical, an Endo International Company",325412 Zinc oxide medicinal preparations manufacturing,,31-33,,Manufacturing,69174.562,,33.750038,-117.870493,California,Orange,,06059
Los Angeles  ,Senior Accountant at Monster Energy,Staff Accountant at Monster Energy,"University of California, Riverside","Economics/Administrative Studies, Concentration: Financial Accounting","University of California, Riverside",Monster Energy,Monster Energy,424490 Yeast merchant wholesalers,424490 Yeast merchant wholesalers,42,42,Wholesale Trade,68623.359,Wholesale Trade,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
,Software Engineer at Axon,Algorithm Engineer Intern at IQHi Inc.,"University of California, Riverside",Computer Science,"University of California, Riverside",Axon,IQHi Inc.,"332994 Turrets, gun, manufacturing",,31-33,,Manufacturing,69174.562,,,,,,,nan
"New York, New York, United States",Mid Market Account Executive at Carta,Mid Market Account Executive at Onna,"University of California, Riverside",Year Abroad through UCEAP,"University of California, Riverside",Carta,Onna,,"921110 President's office, United States",,92,,,,40.712728,-74.006015,New York,,New York,36061
"San Francisco, California, United States",Financial Analyst at Raytheon Intelligence & Space,Student Research Assistant - Water Resource and Economic Policies at UCR School of Public Policy,"University of California, Riverside",Political Science and Government. Minor - Business Administration,"University of California, Riverside",Raytheon Intelligence & Space,UCR School of Public Policy,,,,,,,,37.779026,-122.419906,California,,San Francisco,06075
Hong Kong SAR,"Manager, Organizations & Talent Development at HK01",Resourcing & People Experience Manager at A.S. Watson Group,"University of California, Riverside",Computer Science,"University of California, Riverside",HK01,A.S. Watson Group,561499 Videoconferencing services,551112 Public utility holding companies,56,55,Administrative and Support and Waste Management and Remediation Services,64366.438,Management of Companies and Enterprises,22.350627,114.184916,香港 Hong Kong,,,nan
"San Diego, California, United States","District Sales Manager at Cynosure, LLC.","Area Sales Manager at Cynosure, LLC.","University of California, Riverside",Business Finance,"University of California, Riverside","Cynosure, LLC.","Cynosure, LLC.","334510 Ultrasonic scanning devices, medical, manufacturing","334510 Ultrasonic scanning devices, medical, manufacturing",31-33,31-33,Manufacturing,69174.562,Manufacturing,32.71742,-117.162773,California,San Diego,San Diego,06073
"Gilbert, Arizona, United States",Sales Development Representative at Sourcegraph,Data Science Fellow at Springboard,Flockjay,Industrial Tech Sales,"University of California, Riverside",Sourcegraph,Springboard,,"339999 Wreaths, artificial, manufacturing",,31-33,,,Manufacturing,33.352763,-111.789037,Arizona,Maricopa,Gilbert,04013
Los Angeles  ,"Creative Manager, Talent Relations & Awards at Netflix","Senior Manager, Program Marketing at HBO",1999–2003,Business Administration,"University of California, Riverside",Netflix,HBO,"519130 Yearbook (e.g., high school, college, university) publishers, exclusively on Internet",515210 Television subscription services,51,51,Information,73855.595,Information,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Hong Kong SAR,"Director, Business Development, Group Partnership Distribution at AIA","Director, Partnership Distribution  at Prudential Hong Kong",2005–2005,Accounting,"University of California, Riverside",AIA,Prudential Hong Kong,551112 Public utility holding companies,"524128 Warranty insurance carriers (e.g., appliance, automobile, homeowners, product), direct",55,52,Management of Companies and Enterprises,82055.219,Finance and Insurance,22.350627,114.184916,香港 Hong Kong,,,nan
"Los Angeles, California, United States",Director of User Acquisition at Scopely,Senior User Acquisition Manager at Scopely,"University of California, Riverside",Business/Managerial Economics,"University of California, Riverside",Scopely,Scopely,"511210 Utility software, computer, packaged","511210 Utility software, computer, packaged",51,51,Information,73855.595,Information,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"Los Angeles, California, United States",Product Manager at Planet DDS,"Director of Client Onboarding at Planet DDS, Inc.",University of Southern California - Marshall School of Business,Management,"University of California, Riverside",Planet DDS,"Planet DDS, Inc.","621210 Surgeons', dental, offices (e.g., centers, clinics)",,62,,Health Care and Social Assistance,76373.049,,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
Dallas-Fort Worth ,"Director of Sales, Texas and Utah SLED at Lumen Technologies","Regional Sales Leader, FED & SLED  at Charter Communications","University of California, Riverside","Business Administration, Management and Operations","University of California, Riverside",Lumen Technologies,Charter Communications,517911 Wireless telecommunication resellers (except satellite),517911 Wireless telecommunication resellers (except satellite),51,51,Information,73855.595,Information,32.745316,-97.327831,Texas,Tarrant,Fort Worth,48439
,Manager of Technology and Mortgage Recruitment - Direct Hire at Collabera Inc.,Senior Account Manager of Technology and Mortgage at Collabera Inc.,"University of California, Riverside",Chemistry,"University of California, Riverside",Collabera Inc.,Collabera Inc.,"541512 Systems integration design services, computer",,54,,"Professional, Scientific, and Technical Services",77645.346,,,,,,,nan
Los Angeles  ,Owner at Song Technologies,Senior Consultant at Booz Allen Hamilton,University of Southern California - Marshall School of Business,Entrepreneurship & Innovation,"University of California, Riverside",Song Technologies,Booz Allen Hamilton,,541611 Strategic planning consulting services,,54,,,"Professional, Scientific, and Technical Services",34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
"San Francisco, California, United States",CEO/Founder at PRbyPR- Public Relations by Pernella Rose,Senior Project Manager at Leftwich Event Specialists,University of Riverside,Public Relations,"University of California, Riverside",PRbyPR- Public Relations by Pernella Rose,Leftwich Event Specialists,,,,,,,,37.779026,-122.419906,California,,San Francisco,06075
"Ontario, California, United States",Managing Director | Capital Markets at Newmark Knight Frank at Newmark Knight Frank,Executive Vice President at NAI Capital,University of San Diego,Real Estate Development & Business Management Executive Course Work,"University of California, Riverside",Newmark Knight Frank,NAI Capital,541611 Strategic planning consulting services,"531210 Selling real estate for others (i.e., agents, brokers)",54,53,"Professional, Scientific, and Technical Services",77645.346,Real Estate and Rental and Leasing,34.065846,-117.64843,California,San Bernardino,Ontario,06071
Los Angeles  ,Project Manager at Balfour Beatty US,Project Manager at Erickson-Hall Construction Co.,"University of California, Riverside",Economics,"University of California, Riverside",Balfour Beatty US,Erickson-Hall Construction Co.,,"236220 Warehouse, industrial, construction",,23,,,Construction,34.053691,-118.242766,California,Los Angeles,Los Angeles,06037
