,current_location,current_work,previous_work,latest_Education,major,search_school
2023,"Boston, Massachusetts, United States",Chief of Staff at Snackpass,Analyst at RCLCO Real Estate Advisors,Brown University,Economics,Brown University
2024,"Los Angeles, California, United States",Chief Executive Officer at Sustainable Development Acquisition I Corp,Chairwoman of Board  at Fishpeople Seafood,Harvard Business School,History of Architecture // Business Economics,Brown University
2025,New York City Metropolitan Area,Leader Global Social Responsibility at McKinsey & Company,"Director, Global Social Responsibility at McKinsey & Company",Brown University,English & American Literature,Brown University
2026,"San Francisco, California, United States",Director of Risk Management & Compliance at San Francisco Giants,Global Environmental Health & Safety Program Manager at Uber,"University of California, Berkeley",Sociology,Brown University
2027,"New York, New York, United States",Associate at InfraNext Partners,Investment Banking Analyst at RBC Capital Markets,Brown University,Business Economics,Brown University
2028,"Lisle, Illinois, United States","Vice President, Assistant General Counsel & Corporate Secretary at SunCoke Energy","Assistant General Counsel & Assistant Corporate Secretary at SUNOCO, INC.",1988–1991,Law,Brown University
2029,United Kingdom,Board Member at Quantinuum,Chairman at Cambridge Quantum Computing,2002–2004,Finance,Brown University
2030,"Charlottesville, Virginia, United States",Director of Nursing and Clinical Outcomes at Lightyear Health,ERAS Program Lead at UVA Health System,University of Virginia,Registered Nursing/Registered Nurse,Brown University
2031,"New York, New York, United States",Product Manager at Caption Health,Head of Product at Buttonwood Network,Brown University,Applied Mathematics Biology,Brown University
2032,New York City Metropolitan Area,Strategic Account Development at Templafy,Sales Development Specialist at MarkLogic,Brown University,European History,Brown University
2033,Greater Boston,Incoming Investment Banking Analyst at William Blair,Portfolio Manager at Brown Socially Responsible Investment Fund,Brown University,Applied Mathematics - Economics,Brown University
2034,"Providence, Rhode Island, United States","Senior Advisor, Insurance at incapsulate",Senior Advisor at District360 at Assure eServices,Brown University,Experimental Psychology,Brown University
2035,Greater Houston,AVP | IT Governance / Enterprise Architecture / Security / Strategy at American National,Partner at Breakpoint Advisors,Brown University,Cybersecurity,Brown University
2036,"Santa Monica, California, United States","CEO at Management Controls, Inc.",Founder and CEO at Thismoment,1986–1990,Religious Studies,Brown University
2037,"Providence, Rhode Island, United States",Co-Founder and CEO at Bolden Therapeutics,"Graduate Research Assistant - Fallon Lab, Department of Neuroscience at Brown University",Brown University,Biotechnology,Brown University
2038,"Streetsboro, Ohio, United States",CEO at ForTec Companies,"VP & GM, Life Sciences at STERIS Corporation",Massachusetts Institute of Technology - Sloan School of Management,Environmental Engineering,Brown University
2039,"Seattle, Washington, United States",VP & Global Digital Marketing Professor at Podium Education,"Global Head of Integrated Marketing, EmployeeXM at Qualtrics",University of Virginia Darden School of Business,"General Management, Marketing",Brown University
2040,"Seattle, Washington, United States",Chief Commercial Officer at REI,"Vice President, Physical Retail at Amazon",Northwestern University - Kellogg School of Management,Marketing and Strategy,Brown University
2041,"Cambridge, Massachusetts, United States","Head of Scientific Operations  at Cerevel Therapeutics, LLC","Vice President- Clinical Research Operations at Cavion, Inc.",Brown University,Molecular Biology,Brown University
2042,"New York, New York, United States",Co-Founder/Co-CEO at ALLOY Health Inc.,Co-founder at Seed + Mill,Stanford University Graduate School of Business,"History, Urban Studies",Brown University
2043,"Jupiter, Florida, United States",CEO at Hospice of Palm Beach County,,1988–1990,Health Systems Management,Brown University
2044,"Fall River, Massachusetts, United States","CEO at Two Square Science, LLC","President - US Operations at RTS Life Science, LLC",Brown University,Engineering,Brown University
2045,Greece,Chief Executive Officer at National Bank of Greece,Deputy CEO and member of the BoD at National Bank of Greece,Princeton University,Economics,Brown University
2046,"Hopewell, New Jersey, United States",CEO at Two Centuries Investments,Graduate Teaching Assistant at The Wharton School,University of Pennsylvania - The Wharton School,Finance,Brown University
2047,"New York, New York, United States",Chief Financial Officer at Rendr Care Physicians,Consultant at CITYMD,Brown University,Cognitive Neuroscience,Brown University
2048,"London Area, United Kingdom",Founder & Chief Executive at Fin de Guerre Strategies / Warrender Advisors Limited,Consultant at DRAGON ADVISORY LIMITED,1986–1990,"International Relations, Comparative Literature",Brown University
2049,"Washington, District of Columbia, United States","Vice President, Strategic Planning & Communications (UM SRH) at University of Maryland Medical System",Chief Operating Officer at Odyssey House Louisiana,Eastern Virginia Medical School,Medical & Health Sciences,Brown University
2050,Los Angeles Metropolitan Area,CMO Dignity Health Arizona Central and West Valley Market at Dignity Health,CMO at Dignity Health,Brown University,Biology,Brown University
2051,"New York, New York, United States","VP, Global Head of Tech Sourcing and Vendor Management at Ahold Delhaize",Independent Consultant at Independent Consultant,Brown University,Political Science,Brown University
2052,"New York, New York, United States","Strategic Partnerships, Affiliate Marketing  at Zocdoc","Senior Manager, Strategic Partnerships and Affiliates at Casper",Tulane University,"Business Administration and Management, General",Brown University
2053,"New York, New York, United States",Chief Operating Officer at VVA Project & Cost Managers,Senior Associate at VVA Project Managers & Consultants,1980–1984,Mathematics,Brown University
2054,Greater Philadelphia,Chief Executive Officer at Greenberg Variations Capital,Managing Director at TM Capital Corp.,Harvard Law School,,Brown University
2055,"Münster, North Rhine-Westphalia, Germany","CEO, Vorstandsvorsitzender at Schmitz Cargobull AG","Vorstand, Member of the Board at Schmitz Cargobull AG",Northwestern University - Kellogg School of Management,"Marketing & Finance, MMM",Brown University
2056,"Milford, Massachusetts, United States",Senior Director of Digital Design at Lightmatter,Director of IC Engineering at Marvell Semiconductor,1985–1989,Engineering,Brown University
2057,Greater Seattle Area,Co-Founder & Partner at Cyrca Strategy,Partner at Lenati,Theseus International Management Institute,Business & Technology Management,Brown University
2058,"New York, New York, United States","Senior Vice President, System Chief Medical Officer at NewYork-Presbyterian Hospital","Senior Vice President, Service Lines and Chief Medical Officer, NYP Medical Groups at NewYork-Presbyterian Hospital",Brown University,Neuroscience,Brown University
2059,"Boston, Massachusetts, United States","CEO, Water Quality Services Platform at Shore Capital Partners",Managing Partner at Tremont Hill Partners,Brown University,Public & Private Sector Organizations,Brown University
2060,Greater Boston,"EVP, CFO & Treasurer  at Samsonite",President and CFO at Brightstar Corp.,Villanova University,"History, Organizational Behavior & Management",Brown University
2061,"New York, New York, United States","Senior Marketing Manager, US Innovation AVEENO® Baby and DESITIN® at Johnson & Johnson","Brand Manager,  US AVEENO® Professional at Johnson & Johnson",NYU Stern School of Business,,Brown University
2062,"Washington, District of Columbia, United States",Chief Growth Officer at WellBe Senior Medical,"Senior Vice President, Corporate Development at Somatus",Brown University,International Relations and Political Science,Brown University
2063,"New York, New York, United States",Founder at Aldoa,Financial Analyst at Point72,Brown University,"Business, Entepreneurship, and Technology Management; concentration in Neuroscience",Brown University
2064,"Gibsonia, Pennsylvania, United States",Chief Executive Officer at ST Engineering Aethon,President at McKesson Pharmacy Systems,1986–1990,Economics,Brown University
2065,"Bryn Mawr, Pennsylvania, United States","Director, Information Systems and Delivery at eMoney Advisor","Initiative Project Manager, Internal Systems at eMoney Advisor",Brown University,Neuroscience,Brown University
2066,"Mumbai, Maharashtra, India",Chief Strategy Officer at Arshiya Limited,,Brown University,,Brown University
2067,"Falls Church, Virginia, United States","Chief Medical Officer at TransformCare, Inc.","Chief Medical Officer (CMO), Inova Mount Vernon Hospital; Vice President (VP), Inova Health System at Inova Health System",The Health Management Academy (The Academy),Physician Leadership,Brown University
